gvkey,sector
012206,25
012212,45
012215,45
012216,45
012233,35
012234,45
012250,35
012252,35
012256,10
012257,35
012294,10
012338,35
012378,25
012379,20
012384,10
012389,25
012392,20
012407,40
012421,45
012432,10
012433,35
012441,45
012458,35
012482,45
012485,50
012522,20
012540,45
012544,60
012578,15
012589,35
012597,25
012598,20
012615,25
012625,20
012669,25
012689,25
012691,35
012708,10
012713,35
012719,35
012756,30
012761,30
012788,25
012796,20
012803,45
012833,10
012868,25
012892,10
012915,35
012926,60
012945,45
013011,45
013124,40
013125,60
013163,30
013189,60
013200,45
013235,35
013251,60
013312,15
013323,30
013328,20
013362,25
013375,50
013381,25
013409,15
013431,10
013432,10
013440,50
013498,25
013540,30
013562,60
013579,60
013599,35
013630,20
013634,25
013646,25
013657,35
013683,50
013700,35
013765,30
013782,20
013786,35
013800,35
013824,45
013835,35
013839,35
013888,40
013971,15
013988,40
014043,40
014102,35
014140,40
014150,25
014155,10
014182,15
014252,45
014256,45
014275,40
014282,45
014304,35
014309,30
014311,25
014316,10
014324,45
014359,10
014401,40
014412,25
014417,45
014477,20
014489,45
014538,35
014583,60
014590,15
014597,35
014603,35
014605,50
014623,45
014650,45
014729,UNKNOWN
014752,UNKNOWN
014790,25
014793,15
014794,15
014824,40
014895,20
014908,10
014924,60
014934,10
014938,45
014960,35
015027,15
015037,15
015056,45
015060,10
015087,30
015093,10
015101,40
015106,35
015111,60
015129,15
015142,60
015148,30
015172,25
015212,10
015247,10
015252,15
015253,25
015267,20
015274,15
015314,20
015319,10
015327,45
015396,15
015414,35
015420,45
015444,15
015459,15
015489,35
015509,40
015520,25
015521,25
015539,35
015545,40
015576,40
015617,40
015634,40
015704,20
015708,35
015803,35
015855,45
016009,25
016026,10
016051,40
016101,35
016116,60
016125,60
016188,45
016225,10
016269,35
016401,45
016416,45
016453,35
016476,25
016477,25
016478,10
016486,20
016582,15
016597,45
016653,25
016700,60
016720,60
016721,50
016738,25
016745,35
016775,40
016878,15
016947,35
017101,35
017200,UNKNOWN
017228,10
017239,35
017266,35
017277,20
017287,15
017350,35
017376,45
017396,45
017408,10
017454,10
017494,30
017505,45
017550,45
017553,45
017556,60
017567,35
017626,60
017628,10
017651,35
017653,35
017699,25
017808,35
017812,20
017874,50
017878,40
017910,35
017928,35
017931,35
017934,30
017941,10
017956,10
017997,15
017998,35
018003,20
018005,40
018009,35
018036,45
018043,50
018050,45
018071,60
018086,35
018103,60
018104,40
018109,10
018115,35
018145,60
018159,35
018161,35
018172,35
018179,10
018204,35
018235,10
018240,20
018261,40
018271,45
018276,40
018289,10
018293,55
018306,40
018312,30
018315,35
018320,25
018321,15
018339,25
018383,60
018386,50
018424,35
018430,35
018443,10
018465,10
018468,10
018469,35
018494,60
018498,25
018509,45
018510,35
018561,45
018562,35
018564,45
018571,45
018578,60
018623,45
018624,35
018626,45
018629,25
018630,45
018636,30
018658,35
018660,10
018675,25
018677,55
018679,45
018695,40
018699,45
018745,40
018748,20
018749,35
018841,35
018850,60
018868,15
018872,50
018878,35
018879,45
018888,35
018892,50
018899,35
018926,10
018938,35
018947,35
018952,60
018975,45
018983,35
019025,35
019071,25
019104,10
019129,55
019143,35
019149,35
019151,50
019171,10
019172,25
019175,25
019184,10
019209,15
019349,20
019377,10
019391,25
019394,50
019402,25
019412,35
019433,10
019458,35
019470,35
019471,35
019507,60
019511,35
019516,25
019518,45
