srcdate,filing_date,supplier_gvkey,supplier_tic,customer_tic,customer_gvkey,salecs,total_sale,weight_wji,source
2010-10-31,2010-12-01,024975,SNPS,INTC,006008,150.492,1380.661,0.109,both
2010-10-31,,025430,FCEL,PCG1,,6.978,69.777,0.100004,ours_only
2010-10-31,2010-12-16,028518,SHLOQ,F,004839,,457.272,,partner_only
2010-10-31,,028518,SHLOQ,FIATY1,,68.591,457.272,0.15,ours_only
2010-10-31,2010-12-16,028518,SHLOQ,GM,005073,155.472,457.272,0.339999,both
2010-10-31,2010-12-08,029278,MATK,ABT,001078,76.504,450.023,0.17,both
2010-10-31,2011-01-26,029962,LMNR,CVGW,147708,11.483,54.284,0.211536,both
2010-10-31,,064356,CIEN,T,,267.422,1236.636,0.21625,ours_only
2010-10-31,2011-01-18,122916,RGTPQ,BBY,002184,7.565,75.648,0.100003,both
2010-10-31,2011-01-18,122916,RGTPQ,GME,145049,9.078,75.648,0.120003,both
2010-10-31,2011-01-18,122916,RGTPQ,TGT,003813,7.565,75.648,0.100003,both
2010-10-31,2011-01-18,122916,RGTPQ,WMT,011259,15.13,75.648,0.200005,both
2010-11-30,2011-02-01,005018,AJRD,LMT,006774,231.633,857.9,0.27,both
2010-11-30,2011-02-01,005018,AJRD,RTN,008972,317.423,857.9,0.37,both
2010-11-30,2011-01-26,007146,MKC,PEP,008479,334.0,3336.8,0.100096,both
2010-11-30,2011-01-13,008101,ZZ,COST,029028,,1219.471,,partner_only
2010-11-30,2011-01-10,009937,SPEC.2,EMS,164571,28.1,163.936,0.171408,partner_only
2010-11-30,2011-02-28,011930,CAWW,DG,004016,1.51,50.503,0.029899,both
2010-11-30,2011-02-28,011930,CAWW,RADCQ,009155,1.51,50.503,0.029899,both
2010-11-30,2011-02-28,011930,CAWW,TGT,003813,2.014,50.503,0.039879,both
2010-11-30,2010-12-20,012540,ADBE,IM,063919,570.0,3800.0,0.15,both
2010-11-30,,016476,LEVI,KSS,,441.065,4410.649,0.1,ours_only
2010-11-30,2011-02-10,023062,JOEZ,JWN,007922,21.304,98.176,0.216998,both
2010-11-30,2011-02-10,023062,JOEZ,M,004611,10.799,98.176,0.109996,both
2010-11-30,2011-02-23,028456,SUBCY,XOM,004503,402.73,2369.0,0.17,both
2010-11-30,2011-01-11,156155,SNX,NSIT,031453,,8614.141,,partner_only
2010-11-30,2011-01-06,160629,XRTX.1,DELL,014489,224.264,1601.883,0.14,partner_only
2010-11-30,2011-01-06,160629,XRTX.1,EMC.2,012053,,1601.883,,partner_only
2010-11-30,2011-01-06,160629,XRTX.1,IBM,006066,176.207,1601.883,0.11,both
2010-11-30,2011-01-06,160629,XRTX.1,NTAP,061591,656.772,1601.883,0.41,both
2010-11-30,2011-01-06,160629,XRTX.1,WDC,011399,,1601.883,,partner_only
2010-11-30,2011-01-13,178507,MSCI,BLK,124434,65.627,662.901,0.099,both
2010-11-30,2011-01-13,178507,MSCI,MEA,160474,214.78,662.901,0.324,partner_only
2010-12-31,,001439,ECOL,HON,,3.145,104.836,0.029999,ours_only
2010-12-31,2011-01-24,001602,AMGN,CAH,002751,2813.0,15053.0,0.186873,both
2010-12-31,2011-01-24,001602,AMGN,MCK,007171,3913.0,15053.0,0.259948,both
2010-12-31,2011-02-24,001634,ANLY,LTS,065717,5.334,106.688,0.049996,partner_only
2010-12-31,,001681,ASOE,FSLR,,5.565,9.594,0.58005,ours_only
2010-12-31,2011-03-09,001682,APAGF,PZE,220474,43.012,87.815,0.489802,both
2010-12-31,2011-02-25,002222,SVNTQ,CAH,002751,0.926,4.028,0.229891,both
2010-12-31,2011-02-25,002222,SVNTQ,MCK,007171,1.692,4.028,0.42006,both
2010-12-31,2011-02-23,002270,VAL,CVX,002991,237.552,1696.8,0.14,both
2010-12-31,,002340,ENTP,NRG,,2.062,17.037,0.121031,ours_only
2010-12-31,2011-01-27,002403,BMY,CAH,002751,4092.0,19484.0,0.210018,both
2010-12-31,2011-01-27,002403,BMY,MCK,007171,4676.0,19484.0,0.239992,both
2010-12-31,2011-01-27,002444,BC,HZO,111103,182.6,3403.3,0.053654,both
2010-12-31,,002735,CPTP,AVB,,0.398,6.943,0.057324,ours_only
2010-12-31,2011-01-27,002817,CAT,AME,001598,9595.0,42588.0,0.225298,partner_only
2010-12-31,2011-02-16,003107,CLF,MT,065248,839.192,4694.3,0.178768,partner_only
2010-12-31,2011-02-28,003153,CDE,JPM,002968,,515.457,,partner_only
2010-12-31,2011-02-28,003153,CDE,MITSY,007471,,515.457,,partner_only
2010-12-31,2011-01-26,003158,COHU,AMD,001161,,322.667,,partner_only
2010-12-31,2011-01-26,003158,COHU,INTC,006008,83.893,322.667,0.259999,both
2010-12-31,2011-01-26,003158,COHU,TXN,010499,45.173,322.667,0.139999,both
2010-12-31,,003198,CGP1,XEL5,,168.0,410.0,0.409756,ours_only
2010-12-31,2011-01-18,003231,CMA,EXAS,141277,409.0,2642.0,0.154807,partner_only
2010-12-31,2011-01-18,003243,C,MEA,160474,10198.0,111465.0,0.091491,partner_only
2010-12-31,2011-03-09,003275,JCS,VZ,002136,7.204,120.072,0.059997,both
2010-12-31,2011-02-23,003469,CLR,MRO,007017,478.267,839.065,0.57,both
2010-12-31,,003532,GLW,SHCAY,,796.0,6632.0,0.120024,ours_only
2010-12-31,2011-02-01,003650,CMI,F,004839,,13236.0,,partner_only
2010-12-31,2011-02-01,003650,CMI,PCAR,008253,,13236.0,,partner_only
2010-12-31,2011-02-23,003734,DAN,F,004839,1160.71,6109.0,0.19,both
2010-12-31,2011-02-23,003734,DAN,GM,005073,,6109.0,,partner_only
2010-12-31,2011-02-23,003734,DAN,HMC,005691,,6109.0,,partner_only
2010-12-31,2011-02-23,003734,DAN,PCAR,008253,305.45,6109.0,0.05,both
2010-12-31,2011-02-23,003734,DAN,TM,019661,,6109.0,,partner_only
2010-12-31,,003801,7183B,PCG1,,65.2,591.732,0.110185,ours_only
2010-12-31,2011-02-01,003820,VIEWF,BYD,029011,7.864,392.351,0.020043,partner_only
2010-12-31,2011-02-09,003969,DIOD,ON,134932,6.742,612.886,0.011,partner_only
2010-12-31,2011-02-21,004091,DCO,BA,002285,107.466,408.406,0.263135,both
2010-12-31,2011-03-29,004341,SORL,LNG,029453,2.392,199.365,0.011998,partner_only
2010-12-31,2011-03-29,004341,SORL,SAP,103487,2.99,199.365,0.014998,partner_only
2010-12-31,2011-02-28,004448,ESCA,DKS,150139,18.098,120.656,0.149997,both
2010-12-31,,004606,COLE,TSCO,,8.01,144.627,0.055384,ours_only
2010-12-31,2011-01-25,004685,TRMK,EXAS,141277,34.64,574.145,0.060333,partner_only
2010-12-31,2011-01-27,005116,GNTX,F,004839,,816.263,,partner_only
2010-12-31,2011-01-27,005116,GNTX,GM,005073,122.439,816.263,0.149999,partner_only
2010-12-31,2011-01-27,005116,GNTX,TM,019661,122.439,816.263,0.149999,both
2010-12-31,2011-02-03,005180,GSK,USA,014729,12787.674,44167.343,0.289528,partner_only
2010-12-31,2011-02-03,005229,GR,BA,002285,1045.035,6966.9,0.15,both
2010-12-31,2011-01-27,005496,NVRI,MT,065248,359.0,3038.678,0.118143,partner_only
2010-12-31,,005518,HAS,1231B,,440.238,4002.161,0.11,ours_only
2010-12-31,2011-02-07,005518,HAS,TGT,003813,480.259,4002.161,0.12,both
2010-12-31,2011-01-26,005608,HXL,BA,002285,364.0,1173.6,0.310157,both
2010-12-31,2011-01-26,005608,HXL,EAD,152909,282.0,1173.6,0.240286,partner_only
2010-12-31,2011-03-01,005742,CNP,NRG,135990,583.0,8785.0,0.066363,both
2010-12-31,2011-01-25,005862,RYN,EMN,029392,176.2,1315.233,0.133969,both
2010-12-31,2011-01-13,006008,INTC,DELL,014489,7416.0,43623.0,0.170002,partner_only
2010-12-31,2011-03-22,006013,CCRD,CTAS,003062,4.942,15.443,0.320016,both
2010-12-31,2011-02-10,006130,INPHQ,ALU,101352,5.1,18.207,0.280112,partner_only
2010-12-31,2011-02-25,006136,IPG,GM,005073,,6531.9,,partner_only
2010-12-31,2011-02-25,006136,IPG,JNJ,006266,,6531.9,,partner_only
2010-12-31,2011-02-25,006136,IPG,MSFT,012141,,6531.9,,partner_only
2010-12-31,2011-02-25,006136,IPG,UL,010846,,6531.9,,partner_only
2010-12-31,2011-02-25,006136,IPG,VZ,002136,,6531.9,,partner_only
2010-12-31,2011-02-25,006682,JEF,EXAS,141277,20.749,1316.704,0.015758,partner_only
2010-12-31,2011-01-27,006730,LLY,CAH,002751,,23076.0,,partner_only
2010-12-31,2011-01-27,006730,LLY,MCK,007171,,23076.0,,partner_only
2010-12-31,,006821,LPX,TGAFF,,150.812,1383.6,0.109,ours_only
2010-12-31,2011-03-01,006845,LDL,F,004839,35.0,338.007,0.103548,both
2010-12-31,2011-03-15,006848,LGL,USA,014729,25.212,46.656,0.540381,partner_only
2010-12-31,2011-02-23,006946,MGA,F,004839,3409.0,24102.0,0.141441,both
2010-12-31,2011-02-23,006946,MGA,GM,005073,4835.0,24102.0,0.200606,both
2010-12-31,,006946,MGA,VWAGY,,2725.0,24102.0,0.113061,ours_only
2010-12-31,,007116,MAT,1231B,,800.0,5856.195,0.136607,ours_only
2010-12-31,2011-02-02,007116,MAT,TGT,003813,500.0,5856.195,0.08538,both
2010-12-31,2011-03-01,007152,MDRIQ,CVX,002991,360.562,2403.743,0.15,both
2010-12-31,2011-03-01,007152,MDRIQ,XOM,004503,240.374,2403.743,0.1,both
2010-12-31,2011-02-22,007186,MHS,UNH,010903,11214.611,65968.3,0.17,both
2010-12-31,2011-02-03,007257,MRK,CAH,002751,,45987.0,,partner_only
2010-12-31,2011-02-03,007257,MRK,MCK,007171,,45987.0,,partner_only
2010-12-31,2011-02-03,007257,MRK,MHS,007186,,45987.0,,partner_only
2010-12-31,2011-02-22,007300,UCAP,ALV,064690,4.438,80.684,0.055005,both
2010-12-31,2011-02-22,007300,UCAP,GM,005073,3.321,80.684,0.041161,both
2010-12-31,2011-02-02,007447,MSWP,MSFT,012141,15.745,98.408,0.159997,both
2010-12-31,2011-03-09,007509,MCPIQ,GLW,003532,3.5,35.157,0.099553,both
2010-12-31,2011-03-09,007509,MCPIQ,GRA,005250,7.4,35.157,0.210484,both
2010-12-31,2011-03-09,007509,MCPIQ,MMM,007435,2.5,35.157,0.07111,both
2010-12-31,2011-02-24,007526,QDEL,CAH,002751,,113.339,,partner_only
2010-12-31,2011-02-24,007526,QDEL,MCK,007171,,113.339,,partner_only
2010-12-31,2011-01-27,007585,MSI,VZ,002136,3470.76,19282.0,0.18,both
2010-12-31,2011-02-24,007637,VTRS,CAH,002751,599.557,5450.522,0.11,both
2010-12-31,2011-02-24,007637,VTRS,MCK,007171,599.557,5450.522,0.11,both
2010-12-31,2011-02-10,007682,NANO,INTC,006008,30.843,188.065,0.164002,both
2010-12-31,2011-03-23,007694,MRNA.1,AZN,028272,0.051,1.71,0.029825,partner_only
2010-12-31,2011-03-23,007694,MRNA.1,PFE,008530,0.034,1.71,0.019883,both
2010-12-31,2011-01-27,007875,NWL,BBBY,147868,,5759.2,,partner_only
2010-12-31,2011-01-27,007875,NWL,OMX,002290,,5759.2,,partner_only
2010-12-31,2011-01-27,007875,NWL,SPLS.1,015521,,5759.2,,partner_only
2010-12-31,2011-01-27,007875,NWL,TGT,003813,,5759.2,,partner_only
2010-12-31,2011-02-24,007881,NEM,BNS,015582,2435.0,9540.0,0.255241,both
2010-12-31,,007980,NRTLQ,T,,99.2,620.0,0.16,ours_only
2010-12-31,,007980,NRTLQ,VZ,,68.2,620.0,0.11,ours_only
2010-12-31,,007994,WMB2,PSD1,,95.564,421.817,0.226553,ours_only
2010-12-31,2011-03-15,008148,OLP,EXAS,141277,5.192,42.626,0.121804,partner_only
2010-12-31,,008148,OLP,FERG,,2.303,42.626,0.054028,ours_only
2010-12-31,2011-02-16,008169,ORBK,LPL,160739,89.99,529.355,0.169999,partner_only
2010-12-31,,008176,ORBT,BAESY,,3.198,26.749,0.119556,ours_only
2010-12-31,2011-03-10,008176,ORBT,RTN,008972,2.188,26.749,0.081797,both
2010-12-31,,008213,ACH,PINC,,1624.722,8123.608,0.2,ours_only
2010-12-31,2011-02-24,008333,7259B,CAH,002751,161.42,1008.874,0.16,both
2010-12-31,2011-02-09,008334,PAR,MCD,007154,81.579,239.939,0.339999,both
2010-12-31,2011-02-09,008334,PAR,YUM,065417,26.393,239.939,0.109999,both
2010-12-31,2011-02-23,008357,PKDC,BP,002410,81.9,659.475,0.12419,both
2010-12-31,2011-02-23,008357,PKDC,XOM,004503,63.7,659.475,0.096592,both
2010-12-31,2011-01-07,008363,PKY.1,BAC,007647,2.843,258.076,0.011016,both
2010-12-31,2011-01-07,008363,PKY.1,EXR,160479,3.042,258.076,0.011787,partner_only
2010-12-31,,008363,PKY.1,LPX,,2.226,258.076,0.008625,ours_only
2010-12-31,2011-01-07,008363,PKY.1,NBR,001661,4.42,258.076,0.017127,both
2010-12-31,2011-01-07,008363,PKY.1,RF,004674,5.404,258.076,0.02094,partner_only
2010-12-31,2011-01-07,008363,PKY.1,SMRTQ,025186,2.186,258.076,0.00847,both
2010-12-31,2011-01-07,008363,PKY.1,SWN,009904,2.679,258.076,0.010381,both
2010-12-31,2011-01-07,008363,PKY.1,URS,010813,1.436,258.076,0.005564,both
2010-12-31,2011-02-23,008457,PRETQ,AEO,030059,6.487,464.691,0.01396,partner_only
2010-12-31,2011-02-23,008457,PRETQ,ANF,063643,3.639,464.691,0.007831,partner_only
2010-12-31,2011-02-23,008457,PRETQ,BKS,028924,3.023,464.691,0.006505,both
2010-12-31,2011-02-23,008457,PRETQ,DKS,150139,4.041,464.691,0.008696,both
