gvkey,conm,tic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001059,A P S INC,APS.1,P,01,LU,58958,25619,1972-12-14,1981-03-31
001061,ARI INDUSTRIES INC,ARII.,P,01,LU,10445,340,1979-01-31,1980-10-31
001061,ARI INDUSTRIES INC,ARII.,C,00X,LU,10445,340,1973-04-01,1979-01-30
001062,ASA GOLD AND PRECIOUS METALS,ASA,P,01,LU,26649,20015,1965-01-29,E
001065,AT&E CORP,7200B,C,01,LU,71239,5894,1983-04-04,1991-07-19
001066,ATE ENTERPRISES INC,ATEE,C,01,LC,55335,1911,1984-01-31,1986-12-04
001067,ATI INC,ATQ.1,P,01,LC,28652,23559,1966-01-31,1984-01-30
001067,ATI INC,ATQ.1,C,00X,LC,28652,23559,1962-07-02,1966-01-30
001069,ATV SYSTEMS INC,ATVSQ,C,01,LU,10480,6509,1983-10-18,1984-10-16
001070,AVC CORP,AVC.1,C,00X,LC,21549,23079,1968-01-01,1968-01-30
001070,AVC CORP,AVC.1,P,01,LC,21549,23079,1968-01-31,1981-04-30
001072,AVX CORP,AVX.1,C,01,LC,81912,30930,1995-08-15,2020-03-27
001072,AVX CORP,AVX.1,C,00X,LC,56899,25544,1973-01-01,1973-03-29
001072,AVX CORP,AVX.1,C,01,LC,56899,25544,1973-03-30,1990-01-18
001073,AW COMPUTER SYSTEMS  -CL A,3AWCSA,C,01,LU,10496,422,1981-03-09,1996-08-28
001074,AZL RESOURCES INC,AZL.,P,01,LU,49648,25078,1969-12-04,1982-12-31
001075,PINNACLE WEST CAPITAL CORP,PNW,P,01,LU,27991,21409,1962-01-31,E
001076,PROG HOLDINGS INC,PRG,J,02,LC,78049,5674,2010-12-01,2010-12-10
001076,PROG HOLDINGS INC,PRG,P,01,LC,10517,5674,1982-11-04,1992-12-31
001076,PROG HOLDINGS INC,PRG,N,02,LC,78049,5674,1992-11-03,1992-12-31
001076,PROG HOLDINGS INC,PRG,P,01,LC,10517,5674,2010-12-01,E
001076,PROG HOLDINGS INC,PRG,P,02,LC,78049,5674,1993-01-01,2010-11-30
001076,PROG HOLDINGS INC,PRG,J,01,LC,10517,5674,1993-01-01,2010-11-30
001077,AARONSON BROTHERS STORES CP,ARON.,P,01,LU,10525,346,1979-01-31,1980-09-30
001077,AARONSON BROTHERS STORES CP,ARON.,C,00X,LU,10525,346,1973-07-01,1979-01-30
001078,ABBOTT LABORATORIES,ABT,P,01,LC,20482,20017,1962-01-31,E
001078,ABBOTT LABORATORIES,ABT,C,00X,LC,20482,20017,1950-01-01,1962-01-30
001079,ARP CORP,ARPC.,C,00X,LC,10541,349,1961-01-01,1969-01-30
001079,ARP CORP,ARPC.,P,01,LC,10541,349,1969-01-31,1976-09-30
001080,ABERDEEN PETROLEUM CORP-CL A,APT.A,C,00X,LU,28660,23561,1962-10-01,1963-12-30
001080,ABERDEEN PETROLEUM CORP-CL A,APT.A,P,01,LU,28660,23561,1963-12-31,1976-04-30
001081,ABITIBI CONSOLIDATED INC,ABY.2,P,01,LC,10560,20019,1987-07-16,2007-10-26
001082,SERVIDYNE INC,SERV.1,P,01,LC,10568,5580,1982-06-29,2011-08-31
001083,ACA JOE INC,3ACAJC,C,01,LC,44231,4531,1981-08-31,1988-04-06
001083,ACA JOE INC,3ACAJC,C,01,LC,44231,4531,1977-12-30,1980-01-31
001086,AMETECH INC,3AMETE,C,01,LU,76876,10835,1991-06-28,1994-02-23
001087,ACADIA PETROLEUM CORP,ACAD.,P,01,LU,10584,30,1981-03-03,1983-11-30
001088,ACAPULCO RESTAURANTS,ALAR.1,P,01,LC,10592,149,1978-09-21,1986-02-05
001089,ACCELERATORS INC,ACEL.1,P,01,LC,10613,22208,1972-12-14,1979-11-30
001091,ACCO WORLD CORP,ACO.2,P,01,LU,64688,5803,1983-02-11,1987-07-31
001092,ACCU TEST SYSTEMS INC,ACCUQ,P,01,LU,10621,34,1981-08-13,1983-04-29
001093,ACCURAY CORP,ACRA.,P,01,LC,10640,50,1972-12-14,1987-03-31
001094,ACETO CORP,ACETQ,P,01,LC,10656,37,1972-12-14,2019-10-02
001095,ACKERLEY GROUP INC,AK,P,01,LC,10123,9754,1989-09-07,2002-06-14
001097,ACMAT CORP  -CL A,ACMTA,J,02,LC,11647,47,1987-09-30,1994-09-30
001097,ACMAT CORP  -CL A,ACMTA,N,01,LC,10664,47,1994-10-01,1995-09-01
001097,ACMAT CORP  -CL A,ACMTA,P,02,LC,11647,47,1994-10-01,2004-12-03
001097,ACMAT CORP  -CL A,ACMTA,P,01,LC,10664,47,1972-12-14,1994-09-30
001098,ACME-CLEVELAND CORP,AMT.1,C,01,LC,10057,20020,1968-01-01,1996-07-02
001099,ACME ELECTRIC CORP,ACEE,P,01,LC,63837,156,1972-12-14,2000-11-30
001100,ACME GENERAL CORP,ACME.,P,01,LC,10672,46,1972-12-14,1985-06-28
001101,ACME-HAMILTON MFG CORP,1438B,P,01,LU,28679,23562,1973-01-31,1978-01-31
